                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9604,                 4.3929,                 1.8367,                0.22648,                0.09253,                0.06849,                0.03196,                 2.3285,                 3.5951,                 1.5982,               0.070278,              0.0033025,              0.0033025
                      1,                 2.2312,                 2.6246,                 1.3884,                0.36943,                0.21131,                0.18773,                0.08459,                 2.3186,                 2.6419,                 1.5738,               0.040212,              0.0065701,              0.0065701
                      2,                 2.1139,                 2.2561,                 1.3151,                 0.3201,                0.17671,                0.15803,                0.06279,                 2.5882,                 3.0469,                   1.76,                0.01008,              0.0097717,              0.0097717
                      3,                 2.0629,                 2.0987,                  1.284,                0.21959,                0.16311,                0.10642,                0.04791,                 2.2303,                  3.519,                   1.52,               0.009703,               0.009703,               0.009703
                      4,                 1.9842,                 1.9001,                 1.2419,                0.55832,                0.35589,                0.38415,                0.16459,                 2.1194,                 3.3871,                 1.4133,               0.009703,               0.009703,               0.009703
                      5,                 1.9449,                 1.6927,                 1.2288,                0.64693,                0.49861,                0.54276,                0.25906,                 1.8151,                 1.6601,                 1.2586,               0.009604,               0.009604,               0.009604
                      6,                 1.8681,                 1.5734,                  1.193,                0.69548,                0.40217,                0.47249,                0.21237,                 1.9383,                 1.9333,                 1.3104,               0.009505,               0.009505,               0.009505
                      7,                 1.8445,                   1.45,                 1.1842,                0.74612,                0.50232,                0.58417,                 0.2957,                 1.8069,                  1.534,                 1.2562,               0.009406,               0.009406,               0.009406
                      8,                 1.7928,                  1.343,                  1.166,                0.67495,                 0.4949,                0.55236,                0.27608,                 1.8538,                 1.9294,                 1.2687,               0.009307,               0.009307,               0.009307
                      9,                 1.7711,                 1.2718,                 1.1581,                0.73318,                 0.5088,                 0.5805,                0.28328,                 1.8346,                 1.6199,                 1.2471,               0.009208,               0.009208,               0.009208
                     10,                 1.7367,                 1.2086,                 1.1484,                 0.8505,                0.64849,                0.75488,                0.38941,                 1.6574,                  1.179,                 1.1674,               0.009109,               0.009109,               0.009109
                     11,                 1.7148,                 1.1631,                 1.1301,                0.77389,                0.65025,                0.72468,                0.36658,                 1.7115,                 1.2538,                 1.1919,                0.00901,                0.00901,                0.00901
                     12,                 1.6918,                 1.1189,                 1.1244,                0.87103,                0.73587,                0.82974,                0.44244,                 1.5776,                 1.0457,                 1.1388,               0.008911,               0.008911,               0.008911
                     13,                 1.6695,                 1.0817,                 1.1025,                0.80648,                0.60056,                0.69736,                0.35838,                  1.669,                 1.3602,                 1.1789,               0.008812,               0.008812,               0.008812
                     14,                 1.6484,                 1.0349,                 1.1105,                0.84768,                0.64041,                0.74231,                0.37684,                 1.7807,                 1.1958,                  1.252,               0.008713,               0.008713,               0.008713
