                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7887,                 2.9272,                 1.7344,                0.12943,                 0.0891,                0.04979,                0.02489,                 2.4249,                 3.9714,                 1.6441,              0.0013574,             0.00099639,             0.00099639
                      1,                 1.5289,                 1.8853,                 1.4189,                0.47703,                0.28547,                0.28911,                 0.1383,                 1.9933,                 2.4942,                 1.3893,             0.00099957,             0.00099957,             0.00099957
                      2,                 1.4284,                 1.5678,                  1.326,                0.62729,                0.38581,                 0.4366,                 0.2221,                 1.8086,                 1.9731,                  1.238,             0.00099957,             0.00099957,             0.00099957
                      3,                 1.3864,                 1.4194,                 1.2834,                0.75595,                0.48443,                 0.5574,                0.25039,                 1.9099,                 1.6683,                  1.277,             0.00099826,             0.00099826,             0.00099826
                      4,                 1.3394,                 1.3069,                 1.2505,                0.78678,                0.54585,                0.63206,                  0.326,                 1.7039,                 1.5419,                 1.1725,              0.0009961,              0.0009961,              0.0009961
                      5,                 1.3045,                 1.2028,                 1.2253,                0.80294,                0.56488,                0.66274,                0.33034,                 1.7053,                 1.4241,                 1.1766,             0.00099307,             0.00099307,             0.00099307
                      6,                 1.2685,                 1.1205,                 1.1977,                0.84428,                0.63317,                 0.7248,                0.38041,                 1.6059,                 1.2383,                 1.1355,             0.00098918,             0.00098918,             0.00098918
                      7,                 1.2485,                 1.0672,                 1.1862,                0.83423,                0.67476,                0.76612,                0.40858,                 1.5638,                 1.1458,                 1.1204,             0.00098445,             0.00098445,             0.00098445
                      8,                 1.2144,                 1.0057,                 1.1702,                0.88137,                0.70242,                0.79491,                0.42075,                 1.6155,                 1.0995,                 1.1274,             0.00097887,             0.00097887,             0.00097887
                      9,                 1.2015,                0.97374,                 1.1585,                0.85842,                0.69377,                0.79171,                0.42587,                 1.6078,                 1.0799,                  1.116,             0.00097247,             0.00097247,             0.00097247
                     10,                 1.1812,                0.93464,                 1.1502,                0.90011,                 0.7795,                0.85605,                 0.4613,                  1.538,                0.97798,                 1.1076,             0.00096524,             0.00096524,             0.00096524
                     11,                 1.1598,                0.89876,                 1.1394,                0.88788,                0.82205,                0.88506,                0.49071,                 1.4904,                0.86563,                 1.0784,             0.00095721,             0.00095721,             0.00095721
                     12,                 1.1531,                0.87543,                 1.1265,                0.90567,                0.82785,                0.88518,                0.48685,                 1.5226,                0.86558,                 1.0894,             0.00094838,             0.00094838,             0.00094838
